timestamp,open,high,low,close,volume,num_trades,tipo,rsi,bb_middle,bb_upper,bb_lower,bb_width,adx,di_plus,di_minus,volume_sma,volume_ratio
2025-08-27 21:30:00,1009.58,1029.0,1009.58,1029.0,7759,2,alcista,,,,,,,,,,
2025-08-27 21:40:00,1044.09,1044.09,1024.63,1024.63,8213,4,bajista,,,,,,,,,,
2025-08-27 21:50:00,1007.14,1023.27,1001.59,1023.27,21727,7,alcista,,,,,,,,,,
2025-08-27 22:00:00,1011.88,1068.48,1011.88,1068.48,5294,5,alcista,,,,,,,,,,
2025-08-27 22:10:00,1083.19,1115.48,1083.19,1115.48,20974,6,alcista,,,,,,,,,,
2025-08-27 22:20:00,1110.01,1119.84,1084.47,1084.47,9348,6,bajista,,,,,,,,,,
2025-08-27 22:30:00,1084.51,1111.84,1084.51,1094.82,11716,5,alcista,,,,,,,,,,
2025-08-27 22:40:00,1081.62,1081.62,1052.38,1052.38,11435,5,bajista,,,,,,,,,,
2025-08-27 22:50:00,1036.46,1059.25,1035.63,1035.63,18799,6,bajista,,,,,,,,,,
2025-08-27 23:00:00,1046.49,1065.12,1046.49,1056.15,8364,3,alcista,,,,,,,,,,
2025-08-27 23:10:00,1036.9,1057.31,1028.94,1046.36,23241,6,alcista,,,,,,,,,,
2025-08-27 23:20:00,1029.25,1029.25,1001.23,1019.78,6117,5,bajista,,,,,,,,,,
2025-08-27 23:30:00,1014.93,1028.23,976.35,976.35,22596,6,bajista,,,,,,,,,,
2025-08-27 23:40:00,980.26,999.89,980.26,992.53,11884,4,alcista,44.21092733102637,,,,,,,,,
2025-08-27 23:50:00,1003.05,1033.72,1003.05,1033.72,12114,5,alcista,50.66258633275311,,,,,,30.608695652173928,28.72800808897881,,
2025-08-28 00:00:00,1042.05,1047.12,1039.42,1039.47,12687,5,bajista,52.07517619420516,,,,,,30.64245352550979,29.084432069445626,,
2025-08-28 00:10:00,1053.68,1081.55,1042.1,1081.12,21359,6,alcista,57.27032801307025,,,,,,36.277291715929735,23.4531410104832,,
2025-08-28 00:20:00,1101.39,1101.39,1079.68,1084.86,14587,5,bajista,52.298108760312005,,,,,,33.587253221608634,25.184620918766825,,
2025-08-28 00:30:00,1106.2,1113.92,1101.43,1113.92,7356,4,alcista,49.769530788322896,,,,,,27.33091388980538,26.178378972836274,,
2025-08-28 00:40:00,1102.27,1173.87,1102.27,1151.82,15838,7,alcista,59.75154200330119,1056.212,1142.9903411250818,969.4336588749183,173.5566822501636,,36.63828226857891,24.246251629726228,13570.4,1.1670989801332312
2025-08-28 00:50:00,1159.09,1171.9,1130.06,1130.06,17919,7,bajista,54.939171385322645,1061.2649999999999,1152.9993536637462,969.5306463362537,183.46870732749255,,35.58919560700505,23.551993667755024,14078.4,1.272800886464371
2025-08-28 01:00:00,1107.61,1128.98,1103.98,1128.98,14691,5,alcista,62.14408015727058,1066.4824999999998,1161.2630356155942,971.7019643844054,189.56107123118875,,36.77989324935071,23.102721937053943,14402.3,1.0200454094137743
2025-08-28 01:10:00,1147.17,1160.53,1142.31,1153.58,11671,6,alcista,68.24552176468767,1072.998,1173.0406558708046,972.9553441291955,200.08531174160908,,42.54205908395717,19.363277791193752,13899.5,0.8396704917443073
2025-08-28 01:20:00,1146.16,1146.16,1116.15,1116.15,11790,4,bajista,58.81989768918682,1075.3815,1177.2261629922257,973.5368370077742,203.68932598445144,,40.71029592362239,24.240383472645856,14224.3,0.828863283254712
2025-08-28 01:30:00,1116.25,1130.16,1104.04,1123.76,10871,5,alcista,61.45105929695826,1075.7955,1178.3910315483292,973.1999684516707,205.19106309665858,,40.892540936312436,23.26654861622331,13719.15,0.7923960303663128
2025-08-28 01:40:00,1107.73,1126.13,1101.98,1101.98,14888,5,bajista,62.336414935766626,1076.6709999999998,1179.8752489741375,973.4667510258621,206.40849794827545,,42.67383676266011,18.954384070759684,13996.15,1.063721094729622
