timestamp,open,high,low,close,volume,num_trades,tipo
2025-08-27 21:30:00,1009.58,1029.0,1009.58,1029.0,7759,2,alcista
2025-08-27 21:40:00,1044.09,1044.09,1024.63,1024.63,8213,4,bajista
2025-08-27 21:50:00,1007.14,1023.27,1001.59,1023.27,21727,7,alcista
2025-08-27 22:00:00,1011.88,1068.48,1011.88,1068.48,5294,5,alcista
2025-08-27 22:10:00,1083.19,1115.48,1083.19,1115.48,20974,6,alcista
2025-08-27 22:20:00,1110.01,1119.84,1084.47,1084.47,9348,6,bajista
2025-08-27 22:30:00,1084.51,1111.84,1084.51,1094.82,11716,5,alcista
2025-08-27 22:40:00,1081.62,1081.62,1052.38,1052.38,11435,5,bajista
2025-08-27 22:50:00,1036.46,1059.25,1035.63,1035.63,18799,6,bajista
2025-08-27 23:00:00,1046.49,1065.12,1046.49,1056.15,8364,3,alcista
2025-08-27 23:10:00,1036.9,1057.31,1028.94,1046.36,23241,6,alcista
2025-08-27 23:20:00,1029.25,1029.25,1001.23,1019.78,6117,5,bajista
2025-08-27 23:30:00,1014.93,1028.23,976.35,976.35,22596,6,bajista
2025-08-27 23:40:00,980.26,999.89,980.26,992.53,11884,4,alcista
2025-08-27 23:50:00,1003.05,1033.72,1003.05,1033.72,12114,5,alcista
2025-08-28 00:00:00,1042.05,1047.12,1039.42,1039.47,12687,5,bajista
2025-08-28 00:10:00,1053.68,1081.55,1042.1,1081.12,21359,6,alcista
2025-08-28 00:20:00,1101.39,1101.39,1079.68,1084.86,14587,5,bajista
2025-08-28 00:30:00,1106.2,1113.92,1101.43,1113.92,7356,4,alcista
2025-08-28 00:40:00,1102.27,1173.87,1102.27,1151.82,15838,7,alcista
2025-08-28 00:50:00,1159.09,1171.9,1130.06,1130.06,17919,7,bajista
2025-08-28 01:00:00,1107.61,1128.98,1103.98,1128.98,14691,5,alcista
2025-08-28 01:10:00,1147.17,1160.53,1142.31,1153.58,11671,6,alcista
2025-08-28 01:20:00,1146.16,1146.16,1116.15,1116.15,11790,4,bajista
2025-08-28 01:30:00,1116.25,1130.16,1104.04,1123.76,10871,5,alcista
2025-08-28 01:40:00,1107.73,1126.13,1101.98,1101.98,14888,5,bajista
2025-08-28 01:50:00,1083.18,1108.2,1083.18,1108.2,13446,5,alcista
2025-08-28 02:00:00,1090.61,1090.61,1076.22,1077.72,7725,5,bajista
2025-08-28 02:10:00,1070.68,1085.92,1070.68,1085.92,11862,4,alcista
2025-08-28 02:20:00,1098.7,1098.7,1070.54,1074.8,16959,4,bajista
2025-08-28 02:30:00,1090.53,1103.55,1086.23,1089.88,14750,6,bajista
2025-08-28 02:40:00,1086.75,1086.75,1037.79,1054.79,23356,7,bajista
2025-08-28 02:50:00,1051.95,1051.95,1027.12,1027.12,10609,5,bajista
2025-08-28 03:00:00,1020.48,1037.35,989.63,1006.55,23644,6,bajista
2025-08-28 03:10:00,1007.54,1056.55,1007.54,1056.55,16156,6,alcista
2025-08-28 03:20:00,1073.4,1086.21,1057.73,1086.21,8936,4,alcista
2025-08-28 03:30:00,1090.19,1090.19,1039.88,1039.88,12162,5,bajista
2025-08-28 03:40:00,1041.47,1046.26,1031.47,1036.03,6339,4,bajista
2025-08-28 03:50:00,1027.94,1031.93,1005.56,1031.93,12679,6,alcista
2025-08-28 04:00:00,1015.69,1015.69,984.45,984.45,12850,4,bajista
2025-08-28 04:10:00,996.07,1011.57,975.7,975.7,13304,6,bajista
2025-08-28 04:20:00,970.41,970.41,952.61,969.42,10481,4,bajista
2025-08-28 04:30:00,956.92,964.72,919.47,919.47,14128,6,bajista
2025-08-28 04:40:00,925.97,925.97,911.19,920.42,3965,3,bajista
2025-08-28 04:50:00,913.25,944.93,913.25,939.68,12618,5,alcista
2025-08-28 05:00:00,939.64,950.52,931.26,950.52,4935,4,alcista
2025-08-28 05:10:00,949.0,959.2,939.59,939.59,7674,5,bajista
2025-08-28 05:20:00,938.7,984.42,938.7,984.42,9695,5,alcista
